2024-11-16T04:26:22.200189Z [info     ] 2024-11-16 04:26:22,200 | INFO     | target-bigquery      | Target sink for 'pipeline_benchmark-lineitem' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:26:22.200533Z [info     ] 2024-11-16 04:26:22,200 | INFO     | target-bigquery      | [8fe3a374476840d3aa9da422bfc4d2c5] Sent 15000 rows to projects/dlthub-sandbox/datasets/test_meltano3/tables/pipeline_benchmark_lineitem/streams/_default with offset 150000. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:26:27.940231Z [info     ] 2024-11-16 04:26:27,940 | INFO     | target-bigquery      | Target sink for 'pipeline_benchmark-lineitem' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:26:27.940558Z [info     ] 2024-11-16 04:26:27,940 | INFO     | target-bigquery      | [8fe3a374476840d3aa9da422bfc4d2c5] Sent 15000 rows to projects/dlthub-sandbox/datasets/test_meltano3/tables/pipeline_benchmark_lineitem/streams/_default with offset 165000. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:26:33.711759Z [info     ] 2024-11-16 04:26:33,711 | INFO     | target-bigquery      | Target sink for 'pipeline_benchmark-lineitem' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:26:33.712125Z [info     ] 2024-11-16 04:26:33,711 | INFO     | target-bigquery      | [8fe3a374476840d3aa9da422bfc4d2c5] Sent 15000 rows to projects/dlthub-sandbox/datasets/test_meltano3/tables/pipeline_benchmark_lineitem/streams/_default with offset 180000. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:26:39.479021Z [info     ] 2024-11-16 04:26:39,478 | INFO     | target-bigquery      | Target sink for 'pipeline_benchmark-lineitem' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:26:39.479373Z [info     ] 2024-11-16 04:26:39,479 | INFO     | target-bigquery      | [8fe3a374476840d3aa9da422bfc4d2c5] Sent 15000 rows to projects/dlthub-sandbox/datasets/test_meltano3/tables/pipeline_benchmark_lineitem/streams/_default with offset 195000. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:26:45.195145Z [info     ] 2024-11-16 04:26:45,195 | INFO     | target-bigquery      | Target sink for 'pipeline_benchmark-lineitem' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:26:45.195484Z [info     ] 2024-11-16 04:26:45,195 | INFO     | target-bigquery      | [8fe3a374476840d3aa9da422bfc4d2c5] Sent 15000 rows to projects/dlthub-sandbox/datasets/test_meltano3/tables/pipeline_benchmark_lineitem/streams/_default with offset 210000. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
